Issue ID,Issue,Issue description,#Comments,Reported date,Fixed date,DateDiff(Days),Issue Type,Priority,#Contributors
MDL-45395,PHP-OLE is GPL-incompatible,"We removed it in MDL-42381..

But as reported by Debian, we have another instance in lib/phpexcel/PHPExcel/Shared/OLE*

https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=746594

Note that in http://docs.moodle.org/dev/Moodle_libraries_credits#PEAR_OLE_Classes

It's specified that an 'exception' was made for Moodle. That implies relicensing and is all bit hazy. If we don't need it we should get rid of it..",10,3/5/2014,20/6/2014,48,Bug,Blocker,7
MDL-45447,Atto: Highlight toggled buttons collapse and html,"I think it makes sense then when those buttons are toggled they are highlighted, to emphasise that they are.",8,8/5/2014,23/5/2014,15,Bug,Minor,6
MDL-45500,It is not possible to uninstall grading methods plugins,"Advanced grading methods cannot be uninstalled from Moodle using the Manage Plugins UI. If you install one from the plugins DB, there is no way to uninstall it.

To reproduce install the checklist grading form (https://moodle.org/plugins/pluginversions.php?plugin=gradingform_checklist) and then navigate to Site Administration > Plugins> plugin overview and there will not be an uninstall link.
",23,11/5/2014,15/12/2017,1314,Bug,Major,10
MDL-45562,Editing external blog throws exception,"Register an external blog.
Click on ""edit cog"", change something and try to save.

Reproduced on 2.7, pretty sure the same will be in previous versions

{code}
Invalid user

More information about this error
Debug info: SELECT id FROM {user} WHERE id IS NULL AND deleted = ?
[array (
0 => 0,
)]
Error code: invaliduser
Stack trace:

    line 1451 of /lib/dml/moodle_database.php: dml_missing_record_exception thrown
    line 1427 of /lib/dml/moodle_database.php: call to moodle_database->get_record_select()
    line 6404 of /lib/accesslib.php: call to moodle_database->get_record()
    line 107 of /blog/external_blog_edit.php: call to context_user::instance()

Output buffer: <br /> <b>Notice</b>: Undefined property: stdClass::$filtertags in <b>/home/marina/repositories/int_master/moodle/blog/external_blog_edit.php</b> on line <b>102</b><br /> <br /> <b>Notice</b>: Undefined variable: newexternal in <b>/home/marina/repositories/int_master/moodle/blog/external_blog_edit.php</b> on line <b>107</b><br /> <br /> <b>Notice</b>: Trying to get property of non-object in <b>/home/marina/repositories/int_master/moodle/blog/external_blog_edit.php</b> on line <b>107</b><br /> 
{code}",24,15/5/2014,18/7/2014,64,Bug,Critical,7
MDL-45611,Question text overlaps other parts of the UI on the edit quiz page.,"On the edit quiz page, the question text for random questions overlaps the Maximum mark input box and other things. See the screen grab.

To reproduce:
# Add a new quiz to a course.
# Add several questions to a category in the question bank.
# On the edit quiz page, add a random question selecting from that category to the quiz.
# Observe overlap as in the screen-grab.",38,20/5/2014,20/6/2014,31,Bug,Minor,11
MDL-45729,Teacher should not see 'Submission status' on Assignment page,"When viewing an assignment, every user is shown a table for their 'Submission status', even if they don't have the capability to submit. 

Has been discussed here: https://moodle.org/mod/forum/discuss.php?d=232721",13,29/5/2014,13/6/2014,15,Bug,Minor,5
MDL-45833,Debugging error when changing roles in category,"I encountered the following message:
{code}
Inconsistent courseid - context combination detected.

    line 247 of /lib/classes/event/base.php: call to debugging()
    line 144 of /admin/roles/override.php: call to core\event\base::create()
{code}

to replicate - 
# open course category, 
# click on ""permissions"", 
# select any role from ""Advanced"" dropdown
# Change any permission

I'll create a related improvement to trigger event from inside of assign_capability()",9,4/6/2014,4/7/2014,30,Bug,Major,6
MDL-45867,Atto equation editor drops characters from typing buffer,"Enable a TeX filter or better two and open a browser to slow server or with slow connection. Open Atto and click equation editor key. After buttons render, begin typing a longish TeX expression quickly.  A number of the key strokes will be dropped due to the updating of the Preview image.  
updatePreview in the YUI module uses synchronous IO for AJAX. This should be rewritten with an asynchronous callback to fix the problem.",34,5/6/2014,29/11/2014,177,Bug,Minor,7
MDL-45909,"Left align input form fields on Install pages, in RTL mode.","Choosing to install in Hebrew (RTL mode), first install page form fields (site url, root directory and data directory) are all right aligned where they should be (always) left align, on the first stage of the install process. Since they always refer to english content. (URL and OS level directory names)
On the second page, where you need to input Database information, all input fields should be left aligned, In RTL mode.",17,8/6/2014,5/9/2014,89,Bug,Minor,7
MDL-45938,Event monitor: Create a form to edit/add a new rule,"We need a form to add/edit a new rule. This issue includes:-
# The mform with proper validations and such
# Edit.php to handel forum submissions
# A yui module to update the select drop downs dynamically (consider creating a mform dependent select element instead? ) ",13,10/6/2014,16/7/2014,36,New feature,Minor,6
MDL-45940,"canedit check in mod_assign ""view_student_summary"" needs to call ""can_edit_submission""",currently if checks if the current user ($USER) has mod_assign:submit - this is not enough - this should call the can_edit_submission function to do the checks properly,13,10/6/2014,20/6/2014,10,Bug,Minor,5
MDL-45970,Edit quiz page corrupts the question variable when displaying random questions,"{noformat}
(11:12:16 AM) Rajesh Taneja: +++ b/mod/quiz/editlib.php
@@ -882,8 +882,8 @@ function quiz_print_randomquestion(&$question, &$pageurl, &$quiz, $quiz_qbanktoo
 
         // Then list them.
         echo '<ul>';
-        foreach ($questionstoshow as $question) {
-            echo '<li>' . quiz_question_tostring($question, true) . '</li>';
+        foreach ($questionstoshow as $question1) {
+            echo '<li>' . quiz_question_tostring($question1, true) . '</li>';
         }
(11:12:40 AM) Rajesh Taneja: This was updating reference and causing the problem...
{noformat}

Note that the loop changes $question, which is passed into the function by reference.",11,13/6/2014,20/6/2014,7,Bug,Major,6
MDL-46130,Event monitor: Handle rule managment,"Write yui modules to handle the managment of rules
# Deleting a rule
# copying a rule",4,25/6/2014,17/7/2014,22,New feature,Minor,3
MDL-46156,web service for courses list with editingteacher,"It could be useful have a web service for courses list with editing teacher details:
ex. given id user, the web service returns an array with course ID, shortname, fullname, category ID, ...",1,27/6/2014,11/12/2017,1263,Improvement,Minor,2
MDL-46188,"Course management search returns, show/hide button disappears after action","When a user hides or shows a course from the search results page, the icon disappears, making it not possible to reverse this action without reloading the page.",20,28/6/2014,21/8/2014,54,Bug,Minor,9
MDL-46240,Atto collapse button icon with bad URL,"Hello,
yesterday I've upgraded our moodle instalation to version 2.7. After some quick testing I found bug with generated URL for Atto collapse button icon when the icon is not shown.

This is the generated URL: 
http://test.elearning.vspj.cz/theme/image.php/more/core/1404315041/http://test.elearning.vspj.cz/theme/image.php/more/atto_collapse/1404315041/icon

Icon is not shown on nginx web. server. On Apache (my localhost) is everything ok (but the source is still bad generated).

Here is my nginx configuration:

{code}
server {
    server_name  test.elearning.vspj.cz;

    access_log /var/log/nginx/test.elearning.vspj.cz.access_log main;
    error_log /var/log/nginx/test.elearning.vspj.cz.error_log info;

    root /var/www/$server_name;

    location / {
        try_files $uri $uri/ =404;
    }

    location ~ \.php {
            fastcgi_pass  unix:/var/tmp/php-fpm/$server_name.sock;
            fastcgi_index index.php;
            fastcgi_split_path_info ^(.+\.php)(/.+)$;
            fastcgi_param PATH_INFO $fastcgi_path_info;
            fastcgi_param SCRIPT_FILENAME $document_root$fastcgi_script_name$fastcgi_path_info;
            fastcgi_read_timeout 600;

            include /etc/nginx/fastcgi_params;
    }
}
{code}",7,3/7/2014,11/7/2014,8,Bug,Minor,7
MDL-46241,Event monitor: Create a subscription instance class,Create a class that represents a subscription instance,3,3/7/2014,8/9/2014,67,New feature,Minor,3
MDL-46321,Uninformative error when moving forum without first selecting destination,"Steps to Reproduce:
1. Select a discussion in the Forum
2. On the Move this discussion to... dropdown leave it on the default (no forum selected to move the discussion to) and click [Move]
3. Stack Trace error displays:
Debug info: 
Error code: error
Stack trace:
line 463 of /lib/setuplib.php: moodle_exception thrown
line 40 of /course/jumpto.php: call to print_error()

The error that gets displayed is just ""Error occurred."" This is terribly unfriendly. The end user might not understand what they are doing wrong. Seems like it could be a little more informative.",11,11/7/2014,14/8/2015,399,Bug,Minor,8
MDL-46322,Should not be able to assign admin as marker in assignment,"I have been able to assign administator as marker in assignement even though they belong to the 'Other users' section and are not subscribed specifically to the course. Having nothing to do with the daily running of a course, i dont think they should be available to be given submissions to grade.

To reproduce:
1. Enroll a few students into a course.
2. Create an assignment.
3. Set 'Marking Workflow' and 'Marking Allocation' to 'Yes'.
4. In the assignment, click View/Grade All Submissions.
5. For any student, click Grade icon in the Grade column.
6. See that you can set 'Allocated Marker' to a manager. (Should not be possible)

OR. 5. Select Quick grading.
OR. 6. See that you can set a manager in the marker column. (Should not be possible)",35,11/7/2014,17/6/2017,1072,Bug,Minor,12
MDL-46391,Message search button is missing,If you directly navigate to /message/index.php and you don't have any unread messages you see the search. In any other circumstance I'm quite confident that there used to be a button under your contacts to allow you to access search.,21,16/7/2014,11/10/2014,87,Bug,Minor,9
MDL-46518,Expansion of site glossary in navigation block throws error.,"Make sure navigation is set to show front page activities in navigation.

Go to the front page and add a glossary.

Go to Navigation block -> Site Pages then click on the arrow next to the glossary you just created. It throws the following:

Coding error detected, it must be fixed by a programmer: Error: Coding error detected, it must be fixed by a programmer: PHP catchable fatal error

debug: 
{code}
Default exception handler: Coding error detected, it must be fixed by a programmer: Error: Coding error detected, it must be fixed by a programmer: PHP catchable fatal error Debug: \nError code: codingerror\n* line 115 of /lib/ajax/getnavbranch.php: coding_exception thrown\n
{code}

If you click on the actual name of the Glossary it does not throw an error and does show the ""Browse by"" options below it, however using the arrow does not work on these site level glossaries the way it does on course level ones. 
",8,25/7/2014,29/10/2014,96,Bug,Minor,6
MDL-46545,Weekly stats breaking after MDL-41284,"Stats cron breaks with database writing error on lib/statslib.php line 699.
The problem is in lib/statslib.php on line 704, where is missing userid column.
This totally breaks statistics calculations.
The same for monthly stats line 864",8,28/7/2014,21/8/2014,24,Bug,Blocker,6
MDL-46669,"mod_scorm: GetValue adds quotes to string values, in 1.3 copy only","Calling SetValue(""cmi.location"", ""bob""), then later getValue(""cmi.location"") will return ""'bob'"" - note the extra quotes added by scorm_empty() in the 1.3 version. This causes failures for example if the scorm sets the cmi.location to page2.html, it will try to navigate to site.com/scorm/'page2.html' . That will throw a 404 since the filename should not include quotes.

This is a regression apparently caused by MDL-35870, separating js and php files.  Checking out the immediately preceding commit and testing, the problem is not observed with the previous commit. Also, the function to add the quotation marks did not exist until MDL-35870.

It may be worth noting that the SCORM 1.2 version does not call the function to add quotes to strings. It instead calls the function scorm_isset, which is identical except that it does not add quotes within values.
",15,5/8/2014,21/8/2014,16,Bug,Blocker,7
MDL-46774,Migrate row/column highlight code to YUI module,"Reduce code duplication, improve performance reduce number of event handlers.",1,12/8/2014,19/8/2014,7,Sub-task,Minor,1
MDL-46827,Allow weightings within a category to be reset,"When a user manually sets a weight it becomes fixed and only other weights are changed when normalising the weights in a category.

It would be good to have an option to reset the weights within a category. This would remove the flag indicating individual weights have been manually edited so they can all be normalised.

This could be extended to reset the weights for the whole course.",8,14/8/2014,4/9/2014,21,Sub-task,Minor,6
MDL-46833,"Impossible to see assignment that is ""Available for group members only"" and no students enrolled.","Fatal (coding) error on attempt to see assignment when ""Available for group members only"" and no students* enrolled. 

*active users with mod/assign:submit, normally students.",7,15/8/2014,21/8/2014,6,Bug,Minor,5
MDL-46846,Grade export does not support grade display type anymore,The format of grade is now ignored.,6,15/8/2014,21/8/2014,6,Bug,Minor,5
MDL-46929,Tag functionality for forums,"The ability to use a tag in a forum post. A particular role should be able to defined tags then those tags can be used in forum posts. Also tags should be clickable as a search a parameter for the forums to display similar tagged posts. Tags also be able to search tags in the forums.
",47,22/8/2014,19/4/2017,971,New feature,Minor,13
MDL-46976,email addresses not trimmed on registration and thrown away when editing profile,If you create a user and type in a new email address spaces are not trimmed during sanity checks. This might be useful because on mobile devices people use auto completion and that usually adds a space after a completed word (address). It is not obvious to see what's wrong with an address that has a space at the end because it's invisible. So trimming might be the solution to this.,15,26/8/2014,23/1/2015,150,Bug,Major,9
MDL-47055,reimplement extra credit handling with natural weights.,"See https://tracker.moodle.org/browse/MDL-46576 for the code to branch from, unless that issue has already been integrated.

See the spec at https://docs.moodle.org/dev/Natural_weighting

See https://github.com/MoodleGradebookWorkingGroup/moodle/compare/master...28_natural_weights for the original prototype implementation.",5,2/9/2014,16/9/2014,14,Sub-task,Minor,4
MDL-47059,Investigate/fix handling of hidden and excluded grades within natural weights,"Simple description of this issue:

Make natural weighting compatible with excluded grades (either excluded by exclude empty grades, or manually excluded grades). 

What needs to happen for this to work:
The ""automatic"" weights for each grade_item natural weighting will need to be adjusted ""per user"" depending on the grades that  are excluded.
The max grade for the category will need to be different ""per user"" depending on the grades that are excluded.
Very simple example:

||Grade item||Max grade||Natural Weight||
| Assign 1 | 10 | 10 % |
| Assign 2 | 20 | 20 % |
| Assign 3 | 30 | 30 % |
| Assign 4 | 40 | 40 % |
Total = 100
If item 2 is excluded because the student has not submitted anything and ""exclude empty grades"" is enabled - 
||Grade item||Max grade||Natural Weight||
| Assign 1 | 10 | 12.5 % |
| Assign 3 | 30 | 37.5 % |
| Assign 4 | 40 | 50 % |
Total = 80

Further more - currently we recalculate the ""view"" if show totals excluding hidden items is enabled. Depending on the performance of recalculating all of the above at page load time - we may need to add additional columns to store the ""view"" for users without view hidden grades capability. (This would be 3 extra columns on grade_grade)





Older - more complicated description:

At the moment, excluded and empty grades not being calculated in the final grade, is not enabled with sum of grades (the basis of natural weights). Also currently we have not introduced code to handle displaying hidden grades in the reports. 

To do:

# Update reports to not consider empty grades. This work will be partially solved by MDL-47078.
# Update reports to exclude hidden grade items. Please note that hidden grade items are items hidden to all students and doesn't cover conditional access to activities.

Examples : (Please note that this is the desired outcome)
*Exclude empty grades*
Student 1
||Grade item||Grade||Percent||
| Assign 1 | 10 / 20 | 50 % |
| Assign 2 | 10 / 40 | 5 % |
| Assign 3 | - / 80 | - |
| Total | 20 / 60 | 33.33 % |

Student 2
||Grade item||Grade||Percent||
| Assign 1 | - / 20 | - |
| Assign 2 | - / 40 | - |
| Assign 3 | 20 / 80 | 25% |
| Total | 20 / 80 | 25.00 % |

Student 1 20 (33.00%)
Student 2 20 (25.00 %)

*Exclude hidden grade items*
Student 1
||Grade item||Grade||Percent||
| Assign 1 | 10 / 20 | 50 % |
| Assign 2 - hidden | - / 40 | - |
| Assign 3 | 40 / 80 | 50% |
| Total | 50 / 100 | 50.00 % |

Student 2
||Grade item||Grade||Percent||
| Assign 1 | 15 / 20 | 75% |
| Assign 2 - hidden | - / 40 | - |
| Assign 3 | 20 / 80 | 25% |
| Total | 35 / 100 | 35.00 % |

Student 1 20 (50.00%)
Student 2 20 (35.00 %)

*Additional technical information:*

https://tracker.moodle.org/browse/MDL-46139 introduced a field, grade_grade::aggregationweight that may be helpful.

Currently, grade_category::auto_update_weights() adjust grade_item weights but does this trickle down to grade_grades?

If an individual student cannot see an activity is zeroing grade_grade::aggregationweight and recalculating the weights in that category for that student sufficient?

This code may want to living in get_hiding_affected() in grade_grade.php.",10,2/9/2014,19/9/2014,17,Sub-task,Minor,6
MDL-47076,Badges creator being set to 0 on backup restoration,"If you back up a course including badges, then restore it and the usercreator  of the badge doesn't match a user in the system it gets set to 0. I would expect it to default to the user restoring the course (ie $USER->id), it being 0 causes issues if it tries to send messages to notify the creator about the badge being awarded.

Steps to replicate:
1) Create a user and give them a sitewide role like site manager
2) Create a course
3) Log in as the user and create a badge within that course
   - Make sure it has a criteria (manual issue by role is probably the easiest)
   - Set notify badge creator to everytime on the messages tab

4) Activate the badge
5) Backup the course making sure that users and badges are ticked
6) Download the backup file and upload to a course where no user matches the creator id (or delete the creator from the mdl_user table manually)
7) Restore the course (including the badge) into a new course
8) Check in the database, the creator id of the restored badge will be 0
9) Create a learner, enrol them in the course, and award them the badge
10) Run the cron, you will get the invalid user error below when it tries to send the creator a notification about the badge being awarded.

Default exception handler: Invalid user Debug: SELECT * FROM {user} WHERE id = ?
[array (
  0 => '0',
)]
Error code: invaliduser
* line 1411 of /lib/dml/moodle_database.php: dml_missing_record_exception thrown
* line 1387 of /lib/dml/moodle_database.php: call to moodle_database->get_record_select()
* line 129 of /badges/cron.php: call to moodle_database->get_record()
* line 108 of /badges/cron.php: call to badge_assemble_notification()
* line 35 of /badges/cron.php: call to badge_message_cron()
* line 545 of /lib/cronlib.php: call to badge_cron()
* line 61 of /admin/cli/cron.php: call to cron_run()

!!! Invalid user !!!",21,3/9/2014,12/9/2014,9,Bug,Minor,8
MDL-47124,Update table row/column sizes when AJAX quick editing,"Update table row/column sizes when AJAX quick editing

Needs to use either a global namespace, or a global event.",2,5/9/2014,5/9/2014,0,,,
MDL-47154,Backport behat changes from MDL-46572,"as part of MDL-46572 the existing behat step was modified, the changes should be backported to the stable versions.

Also please change the functions following_should_exist_in_the_table() and following_should_not_exist_in_the_table() not to use the same variable name for different things.",8,8/9/2014,3/10/2014,25,Bug,Minor,6
MDL-47162,Add course id to message eventdata,"The new events2 api now includes the course id which is awesome. Could it also be added to the message api please? It is a piece of info which could be useful for all sorts of plugins such as CONTRIB-5295

I have a core code patch here: https://github.com/amandadoughty/moodle-core_culactivity_stream for v2.6.4

I would be happy to submit this as a proper fix for current branches if the idea is accepted?",134,9/9/2014,5/11/2016,788,Improvement,Major,18
MDL-47167,Add Behat tests for qformat_xml,"This is probably the most important import format, so, since I have worked out that patter for doing these tests, I ought to add tests for this one.",14,9/9/2014,19/9/2014,10,Improvement,Minor,6
MDL-47426,Bad performance of the Assign local roles screen,"Sometimes (but not always) we are seeing really bad performance from the admin/roles/assign.php page (Locally assigned roles).

It is not just having many rows in mdl_users, nor just having many users enrolled in a course, but some combinations of these seem to lead to the database executing this query in a very suboptimal way.

The problem query comes from class core_role_potential_assignees_below_course in admin/roles/classes/potential_assignees_below_course.php, which is using get_enrolled_sql from lib/accesslib.php to build the subquery.

It typically looks like:
{code:sql}
SELECT count(u.id)
  FROM mdl_user u
  LEFT JOIN mdl_role_assignments ra ON (ra.userid = u.id AND ra.roleid = 11 AND ra.contextid = 229431) 
 WHERE u.id IN (
    SELECT DISTINCT eu1_u.id
      FROM mdl_user eu1_u JOIN mdl_user_enrolments eu1_ue ON eu1_ue.userid = eu1_u.id 
      JOIN mdl_enrol eu1_e ON (eu1_e.id = eu1_ue.enrolid AND eu1_e.courseid = 100071) 
     WHERE eu1_u.deleted = 0 AND eu1_u.id <> 1)
  AND u.id <> 1
  AND u.deleted = 0
  AND u.confirmed = 1
  AND ra.id IS NULL
{code}",20,26/9/2014,11/10/2014,15,Bug,Critical,7
MDL-47610,Impossible to identify 'extra credit' items when using 'Simple weighted mean',"On the set up screen, using only 'Simple weighted mean of grades', the items which are extra credit ones are not identifiable.",17,10/10/2014,19/12/2014,70,Bug,Major,7
MDL-47617,user/tests/behat/table_sorting.feature is failing,"{code}
01. ""Travis Peter Mr T Sutcliff"" ""table_row"" does not appear before ""Admin User"" ""table_row""
    In step `And ""Travis Peter Mr T Sutcliff"" ""table_row"" should appear before ""Admin User"" ""table_row""'. # behat_general::should_appear_before()
    From scenario `All user names are show and sortable in the administration user list.'.                # /var/lib/jenkins/moodle/behat_whole_suite_m/user/tests/behat/table_sorting.feature:20
    Of feature `Tables can be sorted by additional names'.                                                # /var/lib/jenkins/moodle/behat_whole_suite_m/user/tests/behat/table_sorting.feature
{code}",14,11/10/2014,15/10/2014,4,Bug,Minor,4
MDL-47754,Installation does infinite redirect on admin edit double click,I have finally managed to reproduce the dreaded infinite redirect loop during installation - after typing admin password and email double press the Enter key...,6,20/10/2014,23/10/2014,3,Bug,Major,7
MDL-47777,Convert assignment maximum files per submission maximum to global setting,Currently the maximum amount of files a submission can contain is hard-coded to 20.  I propose converting this to an admin setting.,17,21/10/2014,21/11/2014,31,Improvement,Minor,10
MDL-47780,The docs for get_user_capability_course() are wrong,"The @return in the php docs suggests it will be ""Array of courses, may have zero entries. Or false if query failed."", however if you actually look at the return statement in the function it is ""return empty($courses) ? false : $courses;"".",5,21/10/2014,29/10/2014,8,Bug,Minor,4
MDL-47810,No options listed in the select box if there are no items to subscribe to,"Dan's comments from MDL-45758.

# As seen in screenshot, it doesn't apply to a core event like comment created and you get an empty select box. Which is also crazy, because I would *love* to know when a comment is created in a specific module. But I can't.",26,22/10/2014,5/11/2014,14,Bug,Minor,11
MDL-47982,Accessibility of Single view: Tab order,"Tab order is broken and needs to be fixed - navigation is unintuitive, and tab indices seem to be shared (e.g. the update button has a tab index of 60).",8,31/10/2014,8/11/2014,8,Bug,Minor,8
MDL-48021,"Bump all versions, requires and dependencies near 2.8 release in master","This task corresponds to point #3 of:

http://docs.moodle.org/dev/Release_process_(Combined)#1_week_prior

And it's achieved in a semi-automated way with the ""versions_check_set.sh"" script available @ https://github.com/moodlehq/moodle-local_ci/blob/master/versions_check_set/versions_check_set.sh 

1) In a git, working, master site with the ci local plugin installed.

2) Define and export all the env variables required by the script.
- $WORKSPACE: Path to the directory where test reults will be sent (/tmp)
- $phpcmd: Path to the PHP CLI executable (/usr/bin/php)
- $gitdir: Directory containing git repo (the dirroot of the git, working site)
- $setversion: 10digits (YYYYMMDD00) to set all versions to. Empty = not set. Since Moodle 2.7 it has been agreed to perform the bump to the planned release version. For easier automated checks later in stable-land.
- $setrequires: 10digits (YYYYMMDD00) to set all requires to. Empty = default to $setversion. Since Moodle 2.7 it has been agreed to perform the requires bump to current master version (usually a RC one).

3) Run it. With errors, they will be reported and fixing will be necessary. (look for ERROR in the $WORKSPACE/versions_check_set.txt file and/or check exit status of the script)

4) Without errors, all the versions, requires and dependencies will be bumped.

5) Commit

6) Note that the main version file is NOT updated at all. One extra commit bumping it may be necessary.

7) Run the checker again to verify that there are no errors and no more changes are performed.

Note the checker is also run periodically by the ci server and also as part of the ""remote_branch_checker"", so normally all the version.php files should be under control.

(This issue will be cloned for each major release).

Ciao :)",7,3/11/2014,8/11/2014,5,Bug,Blocker,5
MDL-48032,Update composer.json with the new moodlehq/behat-extension tag for 2.9 development,"In the https://github.com/moodlehq/moodle-behat-extension.git project we have different tags branches for each major release, for example 1.25.x for Moodle 2.5, this tags are created from different branches, one per moodle major release keeping the master branch according to the moodle master branch (1.26.x for Moodle 2.6dev for example) After releasing XY we should update composer.json to point to a new tag (from https://github.com/moodlehq/moodle-behat-extension.git master branch) according to the moodle development version (1.26.0 for Moodle 2.6dev for example)

Detailed process:

* Before each major release:
** http://docs.moodle.org/dev/Major_release_process#One_week_before

* After each major release
** http://docs.moodle.org/dev/Major_release_process#Post_release",10,3/11/2014,21/11/2014,18,Task,Blocker,5
MDL-48108,Slow messages query,"While looking through the slow query log, found this nice slow query:

{code}
# Query_time: 14.251499  Lock_time: 0.000126 Rows_sent: 6  Rows_examined: 124720
SELECT otheruser.id,otheruser.picture,otheruser.firstname,otheruser.lastname,otheruser.firstnamephonetic,otheruser.lastnamephonetic,otheruser.middlename,otheruser.alternatename,otheruser.imagealt,otheruser.email,otheruser.lastaccess,
                   message.id as mid, message.notification, message.smallmessage, message.fullmessage,
                   message.fullmessagehtml, message.fullmessageformat, message.timecreated,
                   contact.id as contactlistid, contact.blocked

              FROM message message
              JOIN user otheruser ON otheruser.id = CASE
                                WHEN message.useridto = '1031471' THEN message.useridfrom
                                                                 ELSE message.useridto END
         LEFT JOIN message_contacts contact ON contact.userid = '1031471' AND contact.contactid = otheruser.id

             WHERE otheruser.deleted = 0
               AND (message.useridto = '1031471' OR message.useridfrom = '1031471')
               AND message.notification = 0
               AND NOT EXISTS (
                        SELECT 1
                          FROM message othermessage
                         WHERE ((othermessage.useridto = '1031471' AND othermessage.useridfrom = otheruser.id) OR
                                (othermessage.useridfrom = '1031471' AND othermessage.useridto = otheruser.id))
                           AND (othermessage.timecreated > message.timecreated OR (
                                othermessage.timecreated = message.timecreated AND othermessage.id > message.id))
                   )

          ORDER BY message.timecreated DESC LIMIT 0, 100;
{code}",39,7/11/2014,26/2/2015,111,Improvement,Major,13
MDL-48160,Improve all block region layouts when coded for RTL,"If the layout in Bootstrapbase and Clean themes were coded differently so that the side blocks shift from left to the right and visa versa then there would be no need for the 'blockmanipulation' code because the layout itself would do the job, meaning that 'side-pre' can either be on the left in LTR mode and on the right in RTL mode, and that 'side-post' can be on the right in LTR mode and on the left in RTL mode. This would also mean that the current region configuration for ""region-bs-main-and-pre""  and ""region-bs-main-and-post"" would be obsolete.






",52,11/11/2014,6/2/2015,87,Improvement,Minor,8
MDL-48608,Group assignments not showing grade in assignment page without a submission,"Reproduction steps:
* Create assignment.
** Under ""Group submission settings"" set ""Students submit in groups"" to ""Yes"".
* Save and display.
* Go to View/grade all submissions.
* Grade a user, either via quick-grading or editing the grade.
* Grade will be empty. (although if you click edit, you will see the grade was saved)

If you login as a user and submit something, tada! your grade is now there.

This appears to be a visual bug introduced since 2.8 as I've tested on 2.7 and she's fine.

",22,16/12/2014,6/2/2015,52,Bug,Minor,7
MDL-48753,badges_get_user_badges uses concatenation to form an SQL statement,"The function  badges_get_user_badges in lib/badgeslib.php is using concatenation to form part of an SQL statement.
While all current core uses are safely handing the concatenated param it could potentially be exploited if the calling code was sloppy.
This is a pretty minor issue at this point, however one that really should be addressed.",9,6/1/2015,16/1/2015,10,Bug,Minor,6
MDL-48771,Can no longer select multiple questions to delete from a quiz,"In the recent changes made to the quiz module the ""select all"" and the selection boxes to allow more than one question to be selected for deletion have been eliminated.  This means that each question must be deleted individually by two actions - click on delete - click on Yes in message box.  Many of us change out all the questions in each quiz every semester but want to keep all of the other settings associated with that quiz intact.so this is an issue.  For example, I now must perform the delete click and accept yes about 800 times each semester as opposed to the previous 36 times (there are 36 quizzes in each class).  There are two possible fixes for this issue -
1. Restore the selection boxes and a select all and delete all button to the quiz edit page
2. Provide a optional way to make a copy of a quiiz that copies all settings EXCEPT that no questions are copied thus creating a blank but fully formatted quiz. ",109,8/1/2015,7/4/2017,820,Improvement,Major,19
MDL-48803,Lesson should support groups,It would be nice if the lesson module could support groups and groupings like the quiz module.  (At least with the ability to filter the student scores on the reports by group),31,12/1/2015,13/2/2015,32,Improvement,Minor,11
MDL-49025,Possible to remove submission while status shows as submitted,"When editing a file submission, it is possible to delete the submission, save, and then navigate away.

Although an error message is shown warning of an empty submission, the submission is still gone while the status shows as submitted.",32,30/1/2015,21/7/2018,1268,Bug,Minor,12
MDL-49242,core_course_get_contents external function returns huge JSON data for large courses,"I detected cases when the JSON response is about 7MBytes (for courses using a lot of file resources as mini-htmlsites), this makes the app unresponsive (and other clients unable to process that amount of data)

We need to filter the JSON data returned by the external function to reduce the size.

The core_course_get_contents has an option variable (unused) we should add there options for AND filters

Filters:
- excludemodules - Do not return modules, return only the sections structure
- excludecontents - Do not return course contents (the list of files in a resource file)
- sectionid - Return only the section with id = X
- sectionnumber - Return only the section with number (order) = X
- cmid - Return only this module information (among the whole sections structure)
- modname - Return only modules with this name ""label, forum, etc...""
- cminstance - Return only module with id = X (to be used with modname)
- cmidnumber - Return only modules with idnumber = X

Additional benefits are that this will speed up how we retrieve course contents, because we will have lightweight web services to return only the sections structure, modules inside a section and module contents (files)
",15,20/2/2015,13/3/2015,21,Improvement,Minor,7
MDL-49333,Return additional information in core_get_site_info,"For the mobile app we need additional information about features enabled in the site (messaging, notes, usercomments, etc...)

For example, if messaging is disabled we are not going to display that option in the app (same for comments, notes, etc...)",14,28/2/2015,13/3/2015,13,Improvement,Minor,7
MDL-49402,Same scenario names in mod/choice/tests/behat/block_editing.feature,mod/choice/tests/behat/block_editing.feature has 3 scenarios with same feature file.,14,6/3/2015,13/3/2015,7,Bug,Minor,5
MDL-49459,Competency Framework,"Build a UI for creating competency frameworks, as well as the DB tables, webservices, unit tests.",0,10/3/2015,29/5/2015,80,New feature,Minor,2
