Issue ID,Issue,Issue description,#Comments,Reported date,Fixed date,DateDiff (days),Issue Type,#Contributors,Priority
MDL-62134,Add error handling for exports and deletes,"At the moment if any plugin's privacy API implementation causes an exception, the whole request fails.

Arguably this is correct - we want to make sure the request completed correctly wherever possible, however it may be worth adding some try/catch checks around some requests to allow requests to come to some level of completion and instead alert an administrator somehow.

Also consider rolling back database transactions.",21,4/23/2018,5/17/2018,24,Improvement,7,Minor
MDL-62135,Implement core_privacy for tool_log and subplugins,See summary.,15,4/23/2018,5/9/2018,16,New Feature,5,Minor
MDL-62136,Implement providers for core_hub and core_publish,"Implement providers for core_hub and core_publish. Review core_register and block_community

Putting them all together because they all are part of moodle.net / hub communication

*Note, code is different for Moodle 3.3 !*",2,4/23/2018,5/4/2018,11,Improvement,1,Minor
MDL-62141,tool_privacy: impossible to define provider for core subsystem without directory,"For core subsystems that do not have directory it is impossible to define a provider because the classes can only be placed in lib/classes/SUBSYSTEM/ and, therefore, they will have a namespace core\SUBSYSTEM 

tool_privacy expects them to be in namespace core_SUBSYSTEM",4,4/23/2018,5/4/2018,11,Bug,2,Minor
MDL-62162,$PAGE->context was not set error when accessing to policy/viewall.php,"Juan has discovered the followingÂ while adding support toÂ the tool_policy for the mobile app.Â When accessing to /admin/tool/policy/viewall.php page, the following error is displayed:
{code:java}Coding problem: $PAGE->context was not set. You may have forgotten to call require_login() or $PAGE->set_context(). The page may not display correctly as a result
line 493 of /lib/pagelib.php: call to debugging()
line 1544 of /lib/pagelib.php: call to moodle_page->magic_get_context()
line 677 of /lib/pagelib.php: call to moodle_page->initialise_theme_and_output()
line 864 of /lib/pagelib.php: call to moodle_page->magic_get_theme()
line 161 of /admin/tool/policy/classes/api.php: call to moodle_page->get_renderer()
line 57 of /admin/tool/policy/classes/api.php: call to tool_policy\api::list_policies()
line 73 of /admin/tool/policy/classes/output/page_viewalldoc.php: call to tool_policy\api::list_current_versions()
line 57 of /admin/tool/policy/classes/output/page_viewalldoc.php: call to tool_policy\output\page_viewalldoc->prepare_policies()
line 37 of /admin/tool/policy/viewall.php: call to tool_policy\output\page_viewalldoc->__construct()
{code}
Â ",6,4/24/2018,4/25/2018,1,Bug,5,Minor
MDL-62169,Implement core_privacy for mod_assignment,Implement core_privacy for mod_assignment.,17,4/24/2018,5/9/2018,15,Improvement,6,Minor
MDL-62175,Web Service auth_email_signup_user is not setting correctly the policyagreed to 1,"MDL-61477 introduced a change in the external function core_auth_external:email_signup_user to replace the old if !empty($CFG->sitepolicy) check with the new privacy manager defined check. The problem is that was replaced incorrectly with the negative check so now is behaving contrary to expected.

See https://github.com/moodle/moodle/commit/1727c939ba2a9498aaa2caf438f243860f54dd23#diff-44dd56610fe1e6bbff0776a368da5cbaL290",12,4/24/2018,4/28/2018,4,Bug,6,Critical
MDL-62208,Implement core_privacy for core_fileconverter,See summary.,7,4/26/2018,5/2/2018,6,New Feature,5,Minor
MDL-62209,Data requests should be sorted by ascending status and request date,DPOs should see data requests in FIFO order. Seeing data requests piled at the bottom of the list is not a very good user experience.,8,4/26/2018,5/2/2018,6,Bug,5,Minor
MDL-62231,Implement providers for block_recent_activity,Attempt to write block_recent_activity providers for the in-progress SAR API.,10,4/27/2018,5/2/2018,5,New Feature,5,Minor
MDL-62235,Implement core_privacy for core_files,See summary.,8,4/27/2018,5/2/2018,5,New Feature,5,Minor
MDL-62240,Export fails if some of the paths has more than 255 characters,"When some of the contexts, such as a Course name or a Category name, have 255 characters (the maximum allowed), the export privacy data process fails:

Â 
{code:java}
PHP Warning: mkdir(): File name too long in xxxx/moodle/lib/setuplib.php on line 1481
{code}
Â ",21,4/28/2018,5/9/2018,11,Bug,5,Minor
MDL-62264,Implement core_privacy for mnet,"Implement core_privacy for mnet, will be probably a null_provider.

DB TableÂ mnet_sso_access_control is not needed declare and export. The field username isn't linked to any table. This field is used to allow or deny specific access to a user with this username. But it doesn't created a link with the user.
* auth_mnet implements:
** DB Tables,Â mnet_session andÂ mnet_log.
* mnetservice_enrol implements:
** DB Table,Â mnetservice_enrol_enrolments

Â ",6,4/30/2018,5/9/2018,9,Improvement,5,Minor
MDL-62269,Implement core_privacy for auth_mnet plugin,"InÂ recent versions, data is not being stored in the table mnet_log,Â but it can store data from a previous Moodle version upgraded.

Table mnet_session only stores data temporarily, so it's not necessary to export this data.

It's necessary:
* declare mnet_session
* declare and export mnet_log

To improve the PHP memory usage, the export creates a file for every external system/course set.",20,5/1/2018,5/13/2018,12,Bug,5,Minor
MDL-62281,Empty row being shown in user's policies page,"To reproduce:
# Log in as admin.
# Go to ""{{Site administration / Privacy and policies / Manage policies}}""
# Create a policy, Policy 1. Make this policy active.
# In another browser session (e.g. incognito), log in as a user s1 and agree to this policy.
# Back to the admin's browser, deactivate Policy 1
# Create another policy, Policy 2. Make this policy active.
# In s1's browser, log out, then log in again.
# Agree to Policy 2.
# Go to your profile page and click ""{{Policies and agreements}}""
# *Expected:* You should only see Policy 2 listed on the table and there shouldn't be a blank row.
# *Actual:* There is a blank row
!user-view.png|thumbnail!",8,5/1/2018,5/9/2018,8,Bug,5,Minor
MDL-62286,Add policy link to the site footer,"Anywhere in the site the policy statements need to be linked from the site footer (accessible for everyone on the landing page, or in the site as a guest, or as an authenticated user). For both Boost and Clean themes.
# Add a single link called âPoliciesâ to the site footer
# Clicking on that link should go to a publically available page on the site (i.e. you donât need to be logged in to access this page).
# This page should display a linked index listing each *active* policy \{NAME,TYPE} [Link to text]
# Clicking each link will navigate the user to the policy summary text and full text below it.
# Draft or inactive policies are not shown

Â 

E.g. 

Â 
h1. Policies
# \{Privacy policy name, Privacy policy} [link to overall privacy policy below]
# \{Site policy name, Site policy} [link to site policy below]
# \{3rd party policy name, 3rd Party [policy] [link to 3rd party policy below]

Â 
h2. Overall privacy policy

Summary

INSERT SUMMARY TEXT

Full policy

INSERT FULL POLICY TEXT

Â 
h2. Site policy

Summary

INSERT SUMMARY TEXT

Full policy

INSERT FULL POLICY TEXT",13,5/1/2018,5/9/2018,8,Bug,7,Major
MDL-62308,Implement provider for core_backup,Yeh.,11,5/3/2018,5/13/2018,10,Improvement,5,Minor
MDL-62315,Implement provider for core_form,There are user preference sin filemanager.js. Check to see if they're handled elsewhere or not (such as files).,14,5/3/2018,5/9/2018,6,Task,5,Minor
MDL-62318,Implement providers for core_group,Attempt to write core_group providers for the in-progress SAR API.,22,5/3/2018,5/13/2018,10,New Feature,5,Minor
MDL-62338,Backup provider located in weird location,Due to autoclass loading (see fetch_subsystems() in lib/classes/component.php) the provider was put in \{\{backup/util/ui}}.,1,5/7/2018,6/7/2018,31,Improvement,2,Minor
MDL-62340,If backup data contains information of a user that has asked to be deleted we should not restore it,"The core_backup provider implemented in MDL-62308 does not actively remove user data from the backup (because that would be insane), so when restoring these backups we should ignore users who dont want to be remembered.",3,5/7/2018,5/9/2018,2,Improvement,1,Minor
MDL-62343,"Add a link from ""Policies and agreements"" page to the Privacy officer contact form","Add a link that will allow the user to contact the data protection officer from the ""Policies and agreements"" user's profile page, instead of displaying only a message.",31,5/7/2018,12/20/18,227,Improvement,8,Minor
MDL-62357,enrol_cohort to export/delete groups,enrol_cohort privacy provider should also export and delete the group memberships it is responsible for.,9,5/9/2018,5/16/2018,7,Improvement,6,Minor
MDL-62373,Confusing contact DPO modal window,"Because of the way the contact DPO modal window is laid out, the text reads 'Reply to Message', which is very confusing for a user who has just clicked the link 'Contact Data Protection Officer'.

I'm wondering why the user's email address is shown at the top, and whether it could be removed?

Other possibilities would be to add some space between the email address and the text box and move the labels 'Reply to' and 'Message' closer to the email address and text box.

!contact dpo modal.png!",10,5/10/2018,5/13/2018,3,Bug,5,Minor
MDL-62383,Recordset not closed in \core_privacy\local\request\contextlist::add_from_sql(),The $contexts recordset is not being closed after processing.,3,5/10/2018,5/13/2018,3,Bug,4,Minor
MDL-62384,Performance fixes for some providers,"We've discovered some issues due to joins which don't scale well with large numbers of records.

The one which we discovered this with is assign and it's because the query planner in some engines doesn't deal well with joins where the filter is only in the WHERE (when it should be on the JOIN).

Thankfully this only effects providers, and only those which do complex joins, and thankfully these are mostly extremely well unit tested now.",9,5/10/2018,5/13/2018,3,Improvement,4,Blocker
MDL-62388,Sensitive personal data processing reasons can not be removed once added,There must be a !empty thing around that should probably be refined.,9,5/11/2018,5/13/2018,2,Bug,5,Major
MDL-62391,Add information on requests details and table about who made the data request,"It would be useful to show who's created the data request, especially when the request was made by a user on behalf of another user (e.g. parent, DPO).",19,5/11/2018,6/22/2018,42,Bug,8,Minor
MDL-62399,"Export files that ""belong"" to user in different file areas based on userid field in files table","Came up during testing of MDL-61976 for files uploaded to mod_wiki but it can also be present in other areas. 
Files table stores userid which is not displayed anywhere (only ""Author"" text field is displayed and only when managing files in this area). We do not export these files based on userid

There are no methods in files api or privacy api that would retrieve files by userid

Example of scenario:
- I, as a teacher, edited course summary and embedded files
- these files have my userid in the database
- the text of the course summary does not have my userid and is not exported as part of my data
- as a result these files are never exported to me

same with activity descriptions, question texts, feedback questions, and all other places where users (usually teachers) embed files into content that is not owned by them

wiki:
- there is a capability to ""Manage wiki files"" directly
- I can upload files directly to collaborative wiki without having any revisions to the page
- wiki will not show these files as belonging to me or authored by me
- wiki will not be exported to me because it does not have my revisions (currently)
- tester expects that the files I uploaded will be exported

In 99% cases these files should not be deleted though",0,5/11/2018,6/7/2018,27,Bug,1,Minor
MDL-62414,User selector should be only shown for user's children when making personal data requests (mydatarequests.php),"When a DPO is creating personal data requests (in mydatarequests.php), the user selector should only show users that the DPO is a parent of.",7,5/12/2018,5/16/2018,4,Bug,5,Minor
MDL-62418,Consent page hasn't blocks with Clean theme,"[~stronk7] has discovered it while reviewing the ""Agree on behalf of another user as a manager, single policy, javascript on"" behat test (which is failingÂ because of thisÂ with the *clean* theme).

*Steps to reproduce (with CLEAN theme):*
# Login as admin.
# Go to ""Site administration / Users / Privacy and policies / Policy settings""
# Set the site policy handler to ""Policy (tool_policy).
# Access to ""Site administration / Users / Privacy and policies / Manage policies"".
# Create and enable one policy.
# Edit the manager role andÂ allow the ""tool/policy:acceptbehalf"" capability.Â 
# Logout.
# Login as manager.
# Read the policy text and click over Next.

*Expected result:*

The consent page should be displayed with the navigation blocks.

*Current result:*

The consent page is displayed without lateral blocks.",15,5/14/2018,5/16/2018,2,Bug,7,Minor
MDL-62420,Random fail in enrol_lti_privacy_provider_testcase,"Ordering issue in enrol_lti_privacy_provider_testcase:

{code}
There was 1 failure:

1) enrol_lti_privacy_provider_testcase::test_get_contexts_for_userid
Failed asserting that 167002 matches expected 167000.

/Users/Shared/Jenkins/Home/git_repositories/master/enrol/lti/tests/privacy_provider_test.php:87
/Users/Shared/Jenkins/Home/git_repositories/master/lib/phpunit/classes/advanced_testcase.php:80

{code}",6,5/14/2018,5/16/2018,2,Bug,5,Minor
MDL-62424,role_sortorder missing from core_role provider,Not mentioned in metadata. Probably no need to export.,1,5/14/2018,5/14/2018,0,Bug,1,Minor
MDL-62425,Implement core provider,"One area which we've missed is {{core}} - as in, {{lib/classes}}.

We need to:
* include this in the list of components returned in {{privacy\classes\manager.php::get_component_list}}
* update the plugin registry to use this
* implement the provider

Tables to include:
* {{config_log}}
* {{upgrade_log}}
* {{task_adhoc}}
* {{events_queue}}",11,5/14/2018,5/16/2018,2,Bug,5,Minor
MDL-62426,enrol_flatfile implements wrong provider,"It has the {{enrol_flatfile}} DB table



I ran the enrolment flatfile scheduled task, and confirmed that indeed the entry persists in the table beyond the run time of the task. I'd expect to allow for future enrolments to be triggered. You need a future date for this to occur.

If there's any data sitting in the table after a cron run completes, then we should be reporting this as it's more than just temp data in such cases.",13,5/14/2018,5/17/2018,3,Bug,4,Minor
MDL-62427,mod_forum implementation does not check that the coursemodule matches.,"If the forum is removed between {code}
PHP Notice: Trying to get property of non-object in /home/marina/repositories/int_master/moodle/mod/forum/classes/privacy/provider.php on line 760

Notice: Trying to get property of non-object in /home/marina/repositories/int_master/moodle/mod/forum/classes/privacy/provider.php on line 760
PHP Notice: Trying to get property of non-object in /home/marina/repositories/int_master/moodle/mod/forum/classes/privacy/provider.php on line 761

Notice: Trying to get property of non-object in /home/marina/repositories/int_master/moodle/mod/forum/classes/privacy/provider.php on line 761
PHP Notice: Trying to get property of non-object in /home/marina/repositories/int_master/moodle/mod/forum/classes/privacy/provider.php on line 762

Notice: Trying to get property of non-object in /home/marina/repositories/int_master/moodle/mod/forum/classes/privacy/provider.php on line 762
PHP Notice: Trying to get property of non-object in /home/marina/repositories/int_master/moodle/mod/forum/classes/privacy/provider.php on line 769

Notice: Trying to get property of non-object in /home/marina/repositories/int_master/moodle/mod/forum/classes/privacy/provider.php on line 769
PHP Notice: Trying to get property of non-object in /home/marina/repositories/int_master/moodle/mod/forum/classes/privacy/provider.php on line 777

Notice: Trying to get property of non-object in /home/marina/repositories/int_master/moodle/mod/forum/classes/privacy/provider.php on line 777
PHP Notice: Trying to get property of non-object in /home/marina/repositories/int_master/moodle/mod/forum/classes/privacy/provider.php on line 781

Notice: Trying to get property of non-object in /home/marina/repositories/int_master/moodle/mod/forum/classes/privacy/provider.php on line 781
PHP Notice: Trying to get property of non-object in /home/marina/repositories/int_master/moodle/mod/forum/classes/privacy/provider.php on line 782

Notice: Trying to get property of non-object in /home/marina/repositories/int_master/moodle/mod/forum/classes/privacy/provider.php on line 782
{code}",4,5/14/2018,5/15/2018,1,Bug,4,Minor
MDL-62430,Some plugins do not check that context in delete_data_for_all_users_in_context() is correct context for them,"Method delete_data_for_all_users_in_context() from ALL providers is called when context expires. Some plugins have insufficient checks on contextlevel and some modules do not check that this is a module of the given type

*original description:*

I found two problems with LTI module:
1. same as MDL-62427 has in forums - delete functions do not check that module type is 'lti' . You can expire old chat module and accidentally delete recent graded lti
2. system context is added for all users and the manager always reports that there is something for lti module even when user definitely does not have anything

So far we have -

# mod_lti
# mod_choice
# mod_assign export_user_data() and delete_data_for_user()
# mod_feedback export_user_data()
# mod_glossary export_user_data(), both delete functions
# mod_lesson export_user_data() partially
# mod_quiz - doesn't skip if module not found in delete_data_for_user - will cause php exception. Also doesn't check contextlevel
# mod_scorm export_user_data()
# mod_survey doesn't skip in delete_data_for_all_users_in_context(), not a big deal
# mod_wiki export_user_data()
# mod_workshop export_user_data()

The following modules are ok:
Book (null), chat, data, folder (null), forum (MDL-62427), imscp (null), label (null), page (null), resource (null), url (null)",18,5/14/2018,5/16/2018,2,Bug,5,Blocker
MDL-62433,Add missing tool_policy_versions to the privacy provider,Pending declareÂ tool_policy_versions table (and export/delete if needed).,27,5/14/2018,5/17/2018,3,Bug,8,Minor
MDL-62438,Privacy: when setting retention period lang strings are set to lower case,The retention period can be set to year/month/days. The strings for 'month' and 'days' are set to lower cases.,0,5/15/2018,6/7/2018,23,Bug,1,Minor
MDL-62442,Revisit block deletion for user contexts,"Eloy has pointed out that:
# we currently do not delete blocks within a user context; and
# we should consider deleting the block instances when they are in a user context -- their existence could be considered user data.",1,5/15/2018,5/17/18,2,Bug,2,Minor
MDL-62445,tool_privacy: export request email comes from user without a name,"I noticed the error in the cron:
{code}
Notice: Undefined property: stdClass::$maildisplay in /home/marina/repositories/mdk_master/moodle/lib/moodlelib.php on line 6091

Notice: Undefined property: stdClass::$maildisplay in /home/marina/repositories/mdk_master/moodle/lib/moodlelib.php on line 6092
{code}
Also the emails to DPO come from user without a name. 
This happens because we pass exported user object to send_message() instead of a db record from 'users' table (or userid)",9,5/15/2018,5/17/2018,2,Bug,5,Minor
MDL-62446,Glossary module can leave orphan records behind,"When deleting the data for all users in the privacy provider, the categories and aliases for the entries won't be deleted. The _foreach_ will loop over an empty list, thus leaving the records behind.

{noformat}
// Simplified code from line 250 onwards.
$DB->delete_records('glossary_entries', ['glossaryid' => $instanceid]);
...
$entries = $DB->get_records('glossary_entries', ['glossaryid' => $instanceid]);
foreach ($entries as $entry) {
$DB->delete_records('glossary_entries_categories', ['entryid' => $entry->id]);
$DB->delete_records('glossary_alias', ['entryid' => $entry->id]);
}
{noformat}

It seems that the tests do not check the deletion of those related records.

Also to consider: using _get_in_or_equal_ instead of _foreach_.",13,5/15/2018,6/15/2018,31,Bug,7,Minor
MDL-62456,The mod_lti privacy provider should link external,"Shouldn't mod_lti define a link_external_location in get_metadata for the user info it sends on LTI launch? In particular, see lti_build_request function.",7,5/16/2018,5/17/2018,1,Bug,4,Minor
MDL-62460,User ID being displayed when data request creation for others fails validation,"To reproduce:
# Login as admin/DPO
# Go to ""{{Site administration / Users / Privacy and policies / Data requests}}""
# Create a data request for s1.
# Try to create another data request for s1.
# *What happens:* Validation fails as expected, but the displayed selected option in the autocomplete element becomes the user's ID instead of the name and email.",15,5/16/2018,6/15/2018,30,Bug,6,Minor
MDL-62463,Glossary data privacy export isnt correctly matching glossary modules,The query used by mod_glossary' export_user_data func is not correctly limiting its context to glossaries - its simply matching on the cm.id = context.instanceid - this means it ends up joining on anything with a matching instance id. It also doesnt match the glossary to the correct cm record.,11,5/16/2018,5/17/2018,1,Bug,6,Blocker
MDL-62479,Add filtering to the Plugin privacy compliance registry,"At the moment the privacy compliance registry is serving an important function in being part of the report which shows the user data that is stored in Moodle and the reason for its storage.

That being said, it would be nice if we could filter the page to show which components are not compliant and need attention.",8,5/17/2018,5/21/19,369,Improvement,4,Minor
MDL-62491,Privacy Data Request Export Format,"The Export format is in the moment JSON. JSON is fine for data transportability but on the human readability aspect its a mess for nomal user.

My suggestion is to createÂ  an additional format html or pdf from json. This should include some basic information about the structure and type of information.

Â 

""User needs that the data export is usable by a human - so human readable - with an html index and some way of displaying index and content in a webpage.""",35,5/18/2018,10/11/2018,146,Improvement,10,Major
MDL-62502,Add icons to policy aspects,"Art 12 GDPR paragraph 5 suggests to use standardised icons for several aspects from policies as described in Art 13ff. Up to now I'ven't seen any standardized icons. There are some ideas that EU commission or data protection board will suggest such icons in the near future. It would be nice that such icons can be added to the policy texts.

The icons should be visible in summary and full text.",0,5/18/2018,6/7/2018,20,Improvement,1,Minor
MDL-62504,GDPR Data Requests page needs order by date,"Hello,

admin/tool/dataprivacy/datarequests.php for Data Proection Officer is a mess, requests should be in date order (newest first/top part of the page) at the moment they seem to be in order they have been made by.Â 

Tested on Moodle 3.3.6 andÂ Data privacy, tool_dataprivacy 33.6.0 (2017051513)

Â 

Â 

!mess.png|thumbnail!",3,5/19/2018,6/7/2018,19,Bug,3,Minor
MDL-62516,Request to delete forum data for a user will delete files of all users,"The GDPR privacy provider for mod_forum will delete the files in the 'post' file area for *all* users when a request is made to delete data for a *single* user.

At the end of the delete_data_for_user function, it simply calls:

{code:php}
$fs->delete_area_files($context->id, 'mod_forum', 'post');
{code}

This will delete files for all posts in that forum, not just ones from that user. It also doesn't appear to touch the 'attachment' file area at all, which it should.
",10,5/21/2018,5/25/2018,4,Bug,5,Blocker
MDL-62548,Need to scroll through privacy policy two times before accepting,"When the privacy policy is displayed to a user who has not yet accepted the policy is first displayed with a Next button at the end but no acceptance checkbox. So the user has to scrollÂ to the end of the policy find the Next button and click it.

When the user clicks Next, the privacy policy is displayed again. Exactly the same except now there is an acceptance checkbox just above the Next button. So provided the checkbox is ticked before Next is clicked it works as expected.

It seems a pity to make people go through the scroll to the bottom twice, so I wonder whether the checkbox should / could be displayed the first time the policy is displayed. That would mean just one scroll through the policy, check the box click next and it is done.

We only have one privacy policy and acceptance is required for logged in users so this is the same policy each time. Also to be clear it is not a result of clicking the full text option.Â ",1,5/24/2018,4/22/19,333,Bug,2,Minor
MDL-62552,Allow devolved selection of purposes and categories,"Many sites will have multiple DPOs who are responsible for a subset of the site and we should improve the privacy tool to better facilitate this.

One solution I have been considering would be to create new capabilities for creating purposes, selecting a purpose + category, suggesting a purpose + category.

If a user has permission to select a purpose and category then they can choose the configuration for anything they are involved with.

If a user only has permission to suggest a purpose, then they can make suggestions but these must be confirmed by the DPO before becoming active.

I suspect that these would be system level capabilities, and the user would therefore be able to make suggestions and selections at any point that they can already edit.",0,5/24/2018,6/7/2018,14,Improvement,1,Minor
MDL-62554,Add ability to configure data registry to use module type defaults,"E.g. all mod_assign should have a purpose of X, rather than default to the context_module purpose.

Â 

The admin needs to be able to select category and purpose for activity / module types. This is needed on every type of course related activity independent of the others. As for example, assignments may need a different retention rule than forum posts or glossary comments.

Create interface that enables category and purpose be set per feature rather than through the context part.

Links:
# Whiteboard sketches: https://projects.invisionapp.com/boards/RF3OZ7ZWCTP/
# Mockup: https://projects.invisionapp.com/share/9MNIAQEX8Z4#/screens/314512878_Set_Defaults_2a",22,5/24/2018,9/21/2018,120,New Feature,7,Major
MDL-62556,Export data in plugin registry in SAR,"Include the base data (purpose, category + retention in SAR export.",0,5/24/2018,6/7/2018,14,New Feature,1,Minor
MDL-62559,Look at support for rolling deletion,"Requirements analysis required to:

We need to consider how we could handle rolling deletion.

This includes:
* content such as messages; and
* courses with no end date.

We may also want to look at courses which have not had any 'activity' for a long period but have no end date (possibly using logs?).
Possibly list all content by course start date?
Logs can be an _indication_ but not a decision.",0,5/24/2018,6/7/2018,14,Task,1,Minor
MDL-62560,Support different retention for different roles in a purpose,"Add support for different retention strategies for different user roles.

In some institutions the content created by staff is considered to be 'owned' by the institution and not the individual.
In these cases, there may need to be a longer retention policy applied for staff than to students.

This issue seeks to extend the existing privacy API in order to add new data deletion strategies for _rolling_ deletion.

This will be achieved by:
* adding a new 'purpose override' such that a role can be allocated a different retention policy for any data retention purpose;
* adding a new Provider interface to provide:
** a function to fetch the list of users in a location in order to filter the users by role
** a function to delete a set of users in a context
* updating the current rolling expiry system to support this new functionality.",23,5/24/2018,10/24/2018,153,Task,5,Blocker
MDL-62563,Add support for data deletion of existing deleted users,"Add support for data deletion of existing deleted users

Admin needs to be able to select deleted users (from the existing user management interface) when selecting to do a privacy delete.

Admin needs to be able to bulk select (via same multi-user select as bulk user actions) or a CSV upload to enable a data deletion of users. This should work on live users and ""deleted"" ones.",20,5/24/2018,11/7/2018,167,Task,8,Major
MDL-62564,Improve bulk deletion,"Improve the bulk deletion process.

""Admin needs to be able to bulk select (via same multi-user select as bulk user actions) or a CSV upload to enable a data deletion of users. This should work on live users and ""deleted"" ones.""

Investigation",47,5/24/2018,11/11/2018,171,Improvement,7,Major
MDL-62573,Web services can't be called after a major policy change,"As discovered and reported by [~abias] in the dev chat https://moodle.org/local/chatlogs/index.php?conversationid=21998#c641258

{code}
1. I login to moodle.org
2. I agree to the site policy
3. I publish a new version of a plugin on moodle.org/plugins
4. The publication wizard tells me: ""Error: AMOS threw exception moodle_exception: Site policy not agreed: Click here to open the site policy.""
{code}

[~marina] correctly diagnosed this as a problem with the account on lang.moodle.org that represents the Plugins directory as a remote WS client.

I remember we talked about WS accounts during the tool_policy development but I guess it's one of those things we missed at the end. I think the solution is not to reset policyagreed to 0 for accounts with auth set to WS.",0,5/25/2018,7/26/18,62,Bug,1,Minor
MDL-62574,Deleting user data from block_html with the Privacy API crashes (at least with the Privacy API test utility),"As requested by [~dobedobedoh] in the Dev Chat, I am reporting a problem with deleting user data from block_html with the Privacy API.

Steps to reproduce:

* Login as student
* Add a HTML block instance to your dashboard and configure this block instance with some text content

* Open a SSH console
* Pick the ""Test of deleting user data"" utility from https://docs.moodle.org/dev/Privacy_API/Utilities and store it as deletiontest.php
* Run deletiontest.php with the student which you have used at the beginning of this test

Expected result:
* The script finishes and the student's data is deleted

Actual result:
* The script crashes with a database exception
{code}
Entfernen bestÃ¤tigter 19 Kontexte (Freitag, 25. Mai 2018, 12:18) ausfÃ¼hren
mod_assign wird verarbeitet (1/19) (Freitag, 25. Mai 2018, 12:18)
mod_forum wird verarbeitet (2/19) (Freitag, 25. Mai 2018, 12:18)
mod_lti wird verarbeitet (3/19) (Freitag, 25. Mai 2018, 12:18)
mod_moodleoverflow wird verarbeitet (4/19) (Freitag, 25. Mai 2018, 12:18)
block_html wird verarbeitet (5/19) (Freitag, 25. Mai 2018, 12:18)
Default exception handler: Datensatz kann nicht in der Datenbanktabelle context gefunden werden Debug: SELECT * FROM {context} WHERE id = ?
[array (
0 => '228064',
)]
Error code: invalidrecord
* line 1546 of /lib/dml/moodle_database.php: dml_missing_record_exception thrown
* line 1522 of /lib/dml/moodle_database.php: call to moodle_database->get_record_select()
* line 5060 of /lib/accesslib.php: call to moodle_database->get_record()
* line 117 of /privacy/classes/local/request/contextlist_base.php: call to context::instance_by_id()
* line 288 of /privacy/classes/local/request/helper.php: call to core_privacy\local\request\contextlist_base->current()
* line 108 of /privacy/classes/local/request/helper.php: call to core_privacy\local\request\helper::delete_data_for_user_in_course_module()
* line 378 of /privacy/classes/manager.php: call to core_privacy\local\request\helper::delete_data_for_user()
* line 70 of /deletiontest.php: call to core_privacy\manager->delete_data_for_user()

!!! Datensatz kann nicht in der Datenbanktabelle context gefunden werden !!!
!! SELECT * FROM {context} WHERE id = ?
[array (
0 =&gt; '228064',
)]
Error code: invalidrecord !!
!! Stack trace: * line 1546 of /lib/dml/moodle_database.php: dml_missing_record_exception thrown
* line 1522 of /lib/dml/moodle_database.php: call to moodle_database-&gt;get_record_select()
* line 5060 of /lib/accesslib.php: call to moodle_database-&gt;get_record()
* line 117 of /privacy/classes/local/request/contextlist_base.php: call to context::instance_by_id()
* line 288 of /privacy/classes/local/request/helper.php: call to core_privacy\local\request\contextlist_base-&gt;current()
* line 108 of /privacy/classes/local/request/helper.php: call to core_privacy\local\request\helper::delete_data_for_user_in_course_module()
* line 378 of /privacy/classes/manager.php: call to core_privacy\local\request\helper::delete_data_for_user()
* line 70 of /deletiontest.php: call to core_privacy\manager-&gt;delete_data_for_user()
!!

{code}",13,5/26/2018,6/15/2018,20,Bug,7,Major
MDL-62588,enrol_paypal error when calling enrol_paypal\privacy\provider::get_contexts_for_userid,"This is caused because of a missing upgrade step. 
commit 24df3e1a064056d50115de6cd6161585ec7313bd seems to be the one.",15,5/28/2018,6/22/2018,25,Bug,6,Minor
MDL-62589,Unable to reset submitted unapproved SARs after plugins are updated / installed,"Use case:

* A user submits a new SAR (e.g. to export all their data)
* Admin only after that installs a new plugin, or updates existing plugins (e.g. so they have the privacy API implemented)
* We now should be able to reset the submitted unapproved SARs so that contexts are re-gathered.",17,5/29/2018,11/11/2018,166,Bug,5,Blocker
MDL-62597,Data requests: Request date column should include time,"Request date column should also show requested time
Currently it only show requested date that make user confuse",13,5/30/2018,6/22/2018,23,Bug,7,Minor
MDL-62602,Data requests stuck on pre-processing,Recent data requests on moodle.org seem to be stuck on pre-processing (2 days so far).,5,5/31/2018,6/20/2018,20,Bug,3,Minor
